,Team,Group,Position,Name,DOB,Caps,Goals,Country and Club
322,Iceland,D,DF,Ari Freyr Skúlason,1987-05-14,54,0,Belgium Lokeren
323,Iceland,D,DF,Birkir Már Sævarsson,1984-11-11,78,1,Iceland Valur
324,Iceland,D,DF,Hólmar Örn Eyjólfsson,1990-08-06,9,1,Bulgaria Levski Sofia
325,Iceland,D,DF,Hörður Björgvin Magnússon,1993-02-11,15,2,England Bristol City
326,Iceland,D,DF,Kári Árnason,1982-10-13,65,4,Scotland Aberdeen
327,Iceland,D,DF,Ragnar Sigurðsson,1986-06-19,75,3,Russia Rostov
328,Iceland,D,DF,Samúel Friðjónsson,1996-02-22,3,0,Norway Vålerenga
329,Iceland,D,DF,Sverrir Ingi Ingason,1993-08-05,18,3,Russia Rostov
330,Iceland,D,FW,Albert Guðmundsson,1997-06-15,4,3,Netherlands PSV Eindhoven
331,Iceland,D,FW,Alfreð Finnbogason,1989-02-01,45,11,Germany FC Augsburg
332,Iceland,D,FW,Björn Bergmann Sigurðarson,1991-02-26,10,1,Russia Rostov
333,Iceland,D,FW,Jón Daði Böðvarsson,1992-05-25,36,2,England Reading
334,Iceland,D,GK,Frederik Schram,1995-01-19,3,0,Denmark Roskilde
335,Iceland,D,GK,Hannes Þór Halldórsson,1984-04-27,48,0,Denmark Randers
336,Iceland,D,GK,Rúnar Alex Rúnarsson,1995-02-18,3,0,Denmark Nordsjælland
337,Iceland,D,MF,Arnór Ingvi Traustason,1993-04-30,18,5,Sweden Malmö
338,Iceland,D,MF,Aron Gunnarsson (captain),1989-04-22,77,2,Wales Cardiff City
339,Iceland,D,MF,Birkir Bjarnason,1988-05-27,65,9,England Aston Villa
340,Iceland,D,MF,Emil Hallfreðsson,1984-06-29,62,1,Italy Udinese
341,Iceland,D,MF,Gylfi Sigurðsson,1989-09-08,55,18,England Everton
342,Iceland,D,MF,Jóhann Berg Guðmundsson,1990-10-27,65,7,England Burnley
343,Iceland,D,MF,Ólafur Ingi Skúlason,1983-04-01,35,1,Turkey Kardemir Karabükspor
344,Iceland,D,MF,Rúrik Gíslason,1988-02-25,45,3,Germany SV Sandhausen
345,Nigeria,D,DF,Brian Idowu,1992-05-18,3,1,Russia Amkar Perm
346,Nigeria,D,DF,Chidozie Awaziem,1997-01-01,4,0,France Nantes
347,Nigeria,D,DF,Elderson Echiéjilé,1988-01-20,60,3,Belgium Cercle Brugge
348,Nigeria,D,DF,Kenneth Omeruo,1993-10-17,37,0,Turkey Kasımpaşa
349,Nigeria,D,DF,Leon Balogun,1988-06-28,16,0,Germany Mainz 05
350,Nigeria,D,DF,Shehu Abdullahi,1993-03-12,22,0,Turkey Bursaspor
351,Nigeria,D,DF,Tyronne Ebuehi,1995-12-16,4,0,Netherlands ADO Den Haag
352,Nigeria,D,DF,William Troost-Ekong,1993-09-01,19,0,Turkey Bursaspor
353,Nigeria,D,FW,Ahmed Musa,1992-10-14,69,13,Russia CSKA Moscow
354,Nigeria,D,FW,Kelechi Iheanacho,1996-10-03,15,8,England Leicester City
355,Nigeria,D,FW,Odion Ighalo,1989-06-16,17,4,China Changchun Yatai
356,Nigeria,D,FW,Simeon Nwankwo,1992-05-07,0,0,Italy Crotone
357,Nigeria,D,GK,Daniel Akpeyi,1986-08-03,7,0,South Africa Chippa United
358,Nigeria,D,GK,Francis Uzoho,1998-10-28,3,0,Spain Deportivo Fabril
359,Nigeria,D,GK,Ikechukwu Ezenwa,1988-10-16,24,0,Nigeria Enyimba
360,Nigeria,D,MF,Alex Iwobi,1996-05-03,16,4,England Arsenal
361,Nigeria,D,MF,Joel Obi,1991-05-22,15,0,Italy Torino
362,Nigeria,D,MF,John Obi Mikel (captain),1987-04-22,83,6,China Tianjin TEDA
363,Nigeria,D,MF,John Ogu,1988-04-20,18,2,Israel Hapoel Be'er Sheva
364,Nigeria,D,MF,Ogenyi Onazi,1992-12-25,50,1,Turkey Trabzonspor
365,Nigeria,D,MF,Oghenekaro Etebo,1995-11-09,12,1,Spain Las Palmas
366,Nigeria,D,MF,Victor Moses,1990-12-12,32,11,England Chelsea
367,Nigeria,D,MF,Wilfred Ndidi,1996-12-16,16,0,England Leicester City
368,Brazil,E,DF,Danilo,1991-07-15,16,0,England Manchester City
369,Brazil,E,DF,Fagner,1989-06-11,4,0,Brazil Corinthians
370,Brazil,E,DF,Filipe Luís,1985-08-09,31,2,Spain Atlético Madrid
371,Brazil,E,DF,Marcelo,1988-05-12,52,6,Spain Real Madrid
372,Brazil,E,DF,Marquinhos,1994-05-14,24,0,France Paris Saint-Germain
373,Brazil,E,DF,Miranda,1984-09-07,45,2,Italy Internazionale
374,Brazil,E,DF,Pedro Geromel,1985-09-21,2,0,Brazil Grêmio
375,Brazil,E,DF,Thiago Silva,1984-09-22,69,5,France Paris Saint-Germain
376,Brazil,E,FW,Douglas Costa,1990-09-14,24,3,Italy Juventus
377,Brazil,E,FW,Gabriel Jesus,1997-04-03,15,9,England Manchester City
378,Brazil,E,FW,Neymar,1992-02-05,83,53,France Paris Saint-Germain
379,Brazil,E,FW,Roberto Firmino,1991-10-02,19,5,England Liverpool
380,Brazil,E,FW,Taison,1988-01-13,6,1,Ukraine Shakhtar Donetsk
381,Brazil,E,GK,Alisson,1992-10-02,24,0,Italy Roma
382,Brazil,E,GK,Cássio,1987-06-06,1,0,Brazil Corinthians
383,Brazil,E,GK,Ederson,1993-08-17,1,0,England Manchester City
384,Brazil,E,MF,Casemiro,1992-02-23,22,0,Spain Real Madrid
385,Brazil,E,MF,Fernandinho,1985-05-04,42,2,England Manchester City
386,Brazil,E,MF,Fred,1993-03-05,7,0,Ukraine Shakhtar Donetsk
387,Brazil,E,MF,Paulinho,1988-07-25,48,12,Spain Barcelona
388,Brazil,E,MF,Philippe Coutinho,1992-06-12,35,9,Spain Barcelona
389,Brazil,E,MF,Renato Augusto,1988-02-08,28,5,China Beijing Sinobo Guoan
390,Brazil,E,MF,Willian,1988-08-09,55,8,England Chelsea
391,Costa Rica,E,DF,Bryan Oviedo,1990-02-18,41,1,England Sunderland
392,Costa Rica,E,DF,Cristian Gamboa,1989-10-24,65,3,Scotland Celtic
393,Costa Rica,E,DF,Francisco Calvo,1992-07-08,35,3,United States Minnesota United
394,Costa Rica,E,DF,Giancarlo González,1988-02-08,67,2,Italy Bologna
395,Costa Rica,E,DF,Ian Smith,1998-03-06,1,0,Sweden Norrköping
396,Costa Rica,E,DF,Johnny Acosta,1983-07-21,67,2,Colombia Águilas Doradas
397,Costa Rica,E,DF,Kendall Waston,1988-01-01,24,3,Canada Vancouver Whitecaps FC
398,Costa Rica,E,DF,Óscar Duarte,1989-06-03,37,2,Spain Espanyol
399,Costa Rica,E,DF,Rónald Matarrita,1994-07-09,21,2,United States New York City FC
400,Costa Rica,E,FW,Bryan Ruiz (captain),1985-08-18,109,23,Portugal Sporting CP
401,Costa Rica,E,FW,Joel Campbell,1992-06-26,76,14,Spain Real Betis
402,Costa Rica,E,FW,Johan Venegas,1988-11-27,44,9,Costa Rica Saprissa
403,Costa Rica,E,FW,Marco Ureña,1990-03-05,62,15,United States Los Angeles FC
404,Costa Rica,E,GK,Keylor Navas,1986-12-15,78,0,Spain Real Madrid
405,Costa Rica,E,GK,Leonel Moreira,1990-04-02,8,0,Costa Rica Herediano
406,Costa Rica,E,GK,Patrick Pemberton,1982-05-24,39,0,Costa Rica Alajuelense
407,Costa Rica,E,MF,Celso Borges,1988-05-27,110,21,Spain Deportivo La Coruña
408,Costa Rica,E,MF,Christian Bolaños,1984-05-30,79,6,Costa Rica Saprissa
409,Costa Rica,E,MF,Daniel Colindres,1985-05-28,10,0,Costa Rica Saprissa
410,Costa Rica,E,MF,David Guzmán,1990-02-18,40,0,United States Portland Timbers
411,Costa Rica,E,MF,Randall Azofeifa,1984-12-30,57,3,Costa Rica Herediano
412,Costa Rica,E,MF,Rodney Wallace,1988-06-17,30,4,United States New York City FC
413,Costa Rica,E,MF,Yeltsin Tejeda,1992-03-17,48,0,Switzerland Lausanne
414,Serbia,E,DF,Aleksandar Kolarov (captain),1985-11-10,74,10,Italy Roma
415,Serbia,E,DF,Antonio Rukavina,1984-01-26,45,0,Spain Villarreal
416,Serbia,E,DF,Branislav Ivanović,1984-02-22,102,12,Russia Zenit Saint Petersburg
417,Serbia,E,DF,Duško Tošić,1985-01-19,22,1,Turkey Beşiktaş
418,Serbia,E,DF,Milan Rodić,1991-04-02,0,0,Serbia Red Star Belgrade
419,Serbia,E,DF,Miloš Veljković,1995-09-26,2,0,Germany Werder Bremen
420,Serbia,E,DF,Nikola Milenković,1997-10-12,1,0,Italy Fiorentina
421,Serbia,E,DF,Uroš Spajić,1993-02-13,5,0,Belgium Anderlecht
422,Serbia,E,FW,Aleksandar Mitrović,1994-09-16,35,13,England Fulham
423,Serbia,E,FW,Aleksandar Prijović,1990-04-21,8,1,Greece PAOK
424,Serbia,E,FW,Luka Jović,1997-12-23,0,0,Germany Eintracht Frankfurt
425,Serbia,E,GK,Marko Dmitrović,1992-01-24,2,0,Spain Eibar
426,Serbia,E,GK,Predrag Rajković,1995-10-31,7,0,Israel Maccabi Tel Aviv
427,Serbia,E,GK,Vladimir Stojković,1983-07-28,79,0,Serbia Partizan
428,Serbia,E,MF,Adem Ljajić,1991-09-29,27,5,Italy Torino
429,Serbia,E,MF,Andrija Živković,1996-07-11,9,0,Portugal Benfica
430,Serbia,E,MF,Dušan Tadić,1988-11-20,51,13,England Southampton
431,Serbia,E,MF,Filip Kostić,1992-11-01,21,2,Germany Hamburger SV
432,Serbia,E,MF,Luka Milivojević,1991-04-07,26,1,England Crystal Palace
433,Serbia,E,MF,Marko Grujić,1996-04-13,6,0,Wales Cardiff City
434,Serbia,E,MF,Nemanja Matić,1988-08-01,38,2,England Manchester United
435,Serbia,E,MF,Nemanja Radonjić,1996-02-15,1,0,Serbia Red Star Belgrade
436,Serbia,E,MF,Sergej Milinković-Savić,1995-02-27,2,0,Italy Lazio
437,Switzerland,E,DF,Fabian Schär,1991-12-20,37,7,Spain Deportivo La Coruña
438,Switzerland,E,DF,François Moubandje,1990-06-21,16,0,France Toulouse
439,Switzerland,E,DF,Johan Djourou,1987-01-18,73,2,Turkey Antalyaspor
440,Switzerland,E,DF,Manuel Akanji,1995-07-19,5,0,Germany Borussia Dortmund
441,Switzerland,E,DF,Michael Lang,1991-02-08,23,2,Switzerland Basel
442,Switzerland,E,DF,Nico Elvedi,1996-09-30,5,0,Germany Borussia Mönchengladbach
443,Switzerland,E,DF,Ricardo Rodríguez,1992-08-25,51,3,Italy Milan
444,Switzerland,E,DF,Stephan Lichtsteiner (captain),1984-01-16,98,8,Italy Juventus
445,Switzerland,E,FW,Breel Embolo,1997-02-14,23,3,Germany Schalke 04
446,Switzerland,E,FW,Haris Seferović,1992-02-22,49,11,Portugal Benfica
447,Switzerland,E,FW,Josip Drmić,1992-08-08,27,9,Germany Borussia Mönchengladbach
448,Switzerland,E,FW,Mario Gavranović,1989-11-24,13,5,Croatia Dinamo Zagreb
449,Switzerland,E,GK,Roman Bürki,1990-11-14,8,0,Germany Borussia Dortmund
450,Switzerland,E,GK,Yann Sommer,1988-12-17,34,0,Germany Borussia Mönchengladbach
451,Switzerland,E,GK,Yvon Mvogo,1994-06-06,0,0,Germany RB Leipzig
452,Switzerland,E,MF,Blerim Džemaili,1986-04-12,63,9,Italy Bologna
453,Switzerland,E,MF,Denis Zakaria,1996-11-20,9,0,Germany Borussia Mönchengladbach
454,Switzerland,E,MF,Gelson Fernandes,1986-09-02,66,2,Germany Eintracht Frankfurt
455,Switzerland,E,MF,Granit Xhaka,1992-09-27,61,9,England Arsenal
456,Switzerland,E,MF,Remo Freuler,1992-04-15,9,0,Italy Atalanta
457,Switzerland,E,MF,Steven Zuber,1991-08-17,10,3,Germany 1899 Hoffenheim
458,Switzerland,E,MF,Valon Behrami,1985-04-19,77,2,Italy Udinese
459,Switzerland,E,MF,Xherdan Shaqiri,1991-10-10,68,20,England Stoke City
460,Germany,F,DF,Antonio Rüdiger,1993-03-03,23,1,England Chelsea
461,Germany,F,DF,Jérôme Boateng,1988-09-03,70,1,Germany Bayern Munich
462,Germany,F,DF,Jonas Hector,1990-05-27,36,3,Germany 1. FC Köln
463,Germany,F,DF,Joshua Kimmich,1995-02-08,27,3,Germany Bayern Munich
464,Germany,F,DF,Marvin Plattenhardt,1992-01-26,6,0,Germany Hertha BSC
465,Germany,F,DF,Mats Hummels,1988-12-16,63,5,Germany Bayern Munich
466,Germany,F,DF,Matthias Ginter,1994-01-19,17,0,Germany Borussia Mönchengladbach
467,Germany,F,DF,Niklas Süle,1995-09-03,9,0,Germany Bayern Munich
468,Germany,F,FW,Mario Gómez,1985-07-10,73,31,Germany VfB Stuttgart
469,Germany,F,FW,Thomas Müller,1989-09-13,90,38,Germany Bayern Munich
470,Germany,F,FW,Timo Werner,1996-03-06,12,7,Germany RB Leipzig
471,Germany,F,GK,Kevin Trapp,1990-07-08,3,0,France Paris Saint-Germain
472,Germany,F,GK,Manuel Neuer (captain),1986-03-27,74,0,Germany Bayern Munich
473,Germany,F,GK,Marc-André ter Stegen,1992-04-30,19,0,Spain Barcelona
474,Germany,F,MF,İlkay Gündoğan,1990-10-24,24,4,England Manchester City
475,Germany,F,MF,Julian Brandt,1996-05-02,14,1,Germany Bayer Leverkusen
476,Germany,F,MF,Julian Draxler,1993-09-20,42,6,France Paris Saint-Germain
477,Germany,F,MF,Leon Goretzka,1995-02-06,14,6,Germany Schalke 04
478,Germany,F,MF,Marco Reus,1989-05-31,29,9,Germany Borussia Dortmund
479,Germany,F,MF,Mesut Özil,1988-10-15,89,22,England Arsenal
480,Germany,F,MF,Sami Khedira,1987-04-04,73,7,Italy Juventus
481,Germany,F,MF,Sebastian Rudy,1990-02-28,24,1,Germany Bayern Munich
482,Germany,F,MF,Toni Kroos,1990-01-04,82,12,Spain Real Madrid
483,Mexico,F,DF,Carlos Salcedo,1993-09-29,18,0,Germany Eintracht Frankfurt
484,Mexico,F,DF,Diego Reyes,1992-09-19,55,1,Portugal Porto
485,Mexico,F,DF,Edson Álvarez,1997-10-24,10,1,Mexico América
486,Mexico,F,DF,Héctor Moreno,1988-01-17,91,3,Spain Real Sociedad
487,Mexico,F,DF,Hugo Ayala,1987-03-31,40,1,Mexico UANL
488,Mexico,F,DF,Jesús Gallardo,1994-08-14,20,0,Mexico UNAM
489,Mexico,F,DF,Miguel Layún,1988-06-25,62,6,Spain Sevilla
490,Mexico,F,FW,Carlos Vela,1989-03-01,67,18,United States Los Angeles FC
491,Mexico,F,FW,Hirving Lozano,1995-07-30,26,7,Netherlands PSV Eindhoven
492,Mexico,F,FW,Javier Aquino,1990-02-11,51,0,Mexico UANL
493,Mexico,F,FW,Javier Hernández,1988-06-01,100,49,England West Ham United
494,Mexico,F,FW,Jesús Manuel Corona,1993-01-06,33,7,Portugal Porto
495,Mexico,F,FW,Oribe Peralta,1984-01-12,64,26,Mexico América
496,Mexico,F,FW,Raúl Jiménez,1991-05-05,62,13,Portugal Benfica
497,Mexico,F,GK,Alfredo Talavera,1982-09-18,27,0,Mexico Toluca
498,Mexico,F,GK,Guillermo Ochoa,1985-07-13,92,0,Belgium Standard Liège
499,Mexico,F,GK,José de Jesús Corona,1981-01-28,51,0,Mexico Cruz Azul
500,Mexico,F,MF,Andrés Guardado (captain),1986-09-28,144,25,Spain Real Betis
501,Mexico,F,MF,Giovani dos Santos,1989-05-11,102,18,United States LA Galaxy
502,Mexico,F,MF,Héctor Herrera,1990-04-19,63,5,Portugal Porto
503,Mexico,F,MF,Jonathan dos Santos,1990-04-26,29,0,United States LA Galaxy
504,Mexico,F,MF,Marco Fabián,1989-07-21,36,9,Germany Eintracht Frankfurt
505,Mexico,F,MF,Rafael Márquez,1979-02-13,143,18,Mexico Atlas
506,South Korea,F,DF,Go Yo-han,1988-03-10,18,0,South Korea FC Seoul
507,South Korea,F,DF,Hong Chul,1990-09-17,13,0,South Korea Sangju Sangmu
508,South Korea,F,DF,Jang Hyun-soo,1991-09-28,49,3,Japan FC Tokyo
509,South Korea,F,DF,Jung Seung-hyun,1994-04-03,4,0,Japan Sagan Tosu
510,South Korea,F,DF,Kim Min-woo,1990-02-25,16,1,South Korea Sangju Sangmu
511,South Korea,F,DF,Kim Young-gwon,1990-02-27,50,2,China Guangzhou Evergrande
512,South Korea,F,DF,Lee Yong,1986-12-24,24,0,South Korea Jeonbuk Hyundai Motors
513,South Korea,F,DF,Oh Ban-suk,1988-05-20,0,0,South Korea Jeju United
514,South Korea,F,DF,Park Joo-ho,1987-01-16,34,0,South Korea Ulsan Hyundai
515,South Korea,F,DF,Yun Young-sun,1988-10-04,4,0,South Korea Seongnam FC
516,South Korea,F,FW,Hwang Hee-chan,1996-01-26,11,2,Austria Red Bull Salzburg
517,South Korea,F,FW,Kim Shin-wook,1988-04-14,46,10,South Korea Jeonbuk Hyundai Motors
518,South Korea,F,FW,Son Heung-min,1992-07-08,63,20,England Tottenham Hotspur
519,South Korea,F,GK,Cho Hyun-woo,1991-09-25,4,0,South Korea Daegu FC
520,South Korea,F,GK,Kim Jin-hyeon,1987-07-06,14,0,Japan Cerezo Osaka
521,South Korea,F,GK,Kim Seung-gyu,1990-09-30,31,0,Japan Vissel Kobe
522,South Korea,F,MF,Ju Se-jong,1990-10-30,8,1,South Korea Asan Mugunghwa
523,South Korea,F,MF,Jung Woo-young,1989-12-14,26,1,Japan Vissel Kobe
524,South Korea,F,MF,Ki Sung-yueng (captain),1989-01-24,99,10,Wales Swansea City
525,South Korea,F,MF,Koo Ja-cheol,1989-02-27,65,19,Germany FC Augsburg
526,South Korea,F,MF,Lee Jae-sung,1992-08-10,32,5,South Korea Jeonbuk Hyundai Motors
527,South Korea,F,MF,Lee Seung-woo,1998-01-06,0,0,Italy Hellas Verona
528,South Korea,F,MF,Moon Seon-min,1992-06-09,0,0,South Korea Incheon United
529,Sweden,F,DF,Andreas Granqvist (captain),1985-04-16,70,6,Russia Krasnodar
530,Sweden,F,DF,Emil Krafth,1994-08-02,11,0,Italy Bologna
531,Sweden,F,DF,Filip Helander,1993-04-22,4,0,Italy Bologna
532,Sweden,F,DF,Ludwig Augustinsson,1994-04-21,14,0,Germany Werder Bremen
533,Sweden,F,DF,Martin Olsson,1988-05-17,42,5,Wales Swansea City
534,Sweden,F,DF,Mikael Lustig,1986-12-13,64,6,Scotland Celtic
535,Sweden,F,DF,Pontus Jansson,1991-02-13,14,0,England Leeds United
536,Sweden,F,DF,Victor Lindelöf,1994-07-17,19,1,England Manchester United
537,Sweden,F,FW,Isaac Kiese Thelin,1992-06-24,18,2,Belgium Waasland-Beveren
538,Sweden,F,FW,John Guidetti,1992-04-15,20,1,Spain Alavés
539,Sweden,F,FW,Marcus Berg,1986-08-17,55,18,United Arab Emirates Al Ain
540,Sweden,F,FW,Ola Toivonen,1986-07-03,57,13,France Toulouse
541,Sweden,F,GK,Karl-Johan Johnsson,1990-01-28,5,0,France Guingamp
542,Sweden,F,GK,Kristoffer Nordfeldt,1989-06-23,8,0,Wales Swansea City
543,Sweden,F,GK,Robin Olsen,1990-01-08,16,0,Denmark Copenhagen
544,Sweden,F,MF,Albin Ekdal,1989-07-28,32,0,Germany Hamburger SV
545,Sweden,F,MF,Emil Forsberg,1991-10-23,34,6,Germany RB Leipzig
546,Sweden,F,MF,Gustav Svensson,1987-02-07,11,0,United States Seattle Sounders FC
547,Sweden,F,MF,Jimmy Durmaz,1989-03-22,44,3,France Toulouse
548,Sweden,F,MF,Marcus Rohdén,1991-05-11,10,1,Italy Crotone
549,Sweden,F,MF,Oscar Hiljemark,1992-06-28,20,2,Italy Genoa
550,Sweden,F,MF,Sebastian Larsson,1985-06-06,98,6,England Hull City
551,Sweden,F,MF,Viktor Claesson,1992-01-02,21,3,Russia Krasnodar
552,Belgium,G,DF,Dedryck Boyata,1990-11-28,4,0,Scotland Celtic
553,Belgium,G,DF,Jan Vertonghen,1987-04-24,99,8,England Tottenham Hotspur
554,Belgium,G,DF,Thomas Meunier,1991-09-12,22,5,France Paris Saint-Germain
555,Belgium,G,DF,Thomas Vermaelen,1985-11-14,64,1,Spain Barcelona
556,Belgium,G,DF,Toby Alderweireld,1989-03-02,71,3,England Tottenham Hotspur
557,Belgium,G,DF,Vincent Kompany,1986-04-10,73,4,England Manchester City
558,Belgium,G,FW,Dries Mertens,1987-05-06,64,13,Italy Napoli
559,Belgium,G,FW,Michy Batshuayi,1993-10-02,13,5,Germany Borussia Dortmund
560,Belgium,G,FW,Romelu Lukaku,1993-05-13,63,30,England Manchester United
561,Belgium,G,GK,Koen Casteels,1992-06-25,0,0,Germany VfL Wolfsburg
562,Belgium,G,GK,Simon Mignolet,1988-03-06,21,0,England Liverpool
563,Belgium,G,GK,Thibaut Courtois,1992-05-11,55,0,England Chelsea
564,Belgium,G,MF,Adnan Januzaj,1995-02-05,6,0,Spain Real Sociedad
565,Belgium,G,MF,Axel Witsel,1989-01-12,85,9,China Tianjin Quanjian
566,Belgium,G,MF,Eden Hazard (captain),1991-01-07,81,21,England Chelsea
567,Belgium,G,MF,Kevin De Bruyne,1991-06-28,56,13,England Manchester City
568,Belgium,G,MF,Leander Dendoncker,1995-04-15,4,0,Belgium Anderlecht
569,Belgium,G,MF,Marouane Fellaini,1987-11-22,78,16,England Manchester United
570,Belgium,G,MF,Mousa Dembélé,1987-07-16,73,5,England Tottenham Hotspur
571,Belgium,G,MF,Nacer Chadli,1989-08-02,40,4,England West Bromwich Albion
572,Belgium,G,MF,Thorgan Hazard,1993-03-29,7,1,Germany Borussia Mönchengladbach
573,Belgium,G,MF,Yannick Carrasco,1993-09-04,22,5,China Dalian Yifang
574,Belgium,G,MF,Youri Tielemans,1997-05-07,7,0,France Monaco
575,England,G,DF,Ashley Young,1985-07-09,33,7,England Manchester United
576,England,G,DF,Danny Rose,1990-07-02,16,0,England Tottenham Hotspur
577,England,G,DF,Fabian Delph,1989-11-21,9,0,England Manchester City
578,England,G,DF,Gary Cahill,1985-12-19,58,4,England Chelsea
579,England,G,DF,Harry Maguire,1993-03-05,4,0,England Leicester City
580,England,G,DF,John Stones,1994-05-28,24,0,England Manchester City
581,England,G,DF,Kieran Trippier,1990-09-19,5,0,England Tottenham Hotspur
582,England,G,DF,Kyle Walker,1990-05-28,34,0,England Manchester City
583,England,G,DF,Phil Jones,1992-02-21,24,0,England Manchester United
584,England,G,DF,Trent Alexander-Arnold,1998-10-07,0,0,England Liverpool
585,England,G,FW,Danny Welbeck,1990-11-26,37,15,England Arsenal
586,England,G,FW,Harry Kane (captain),1993-07-28,24,13,England Tottenham Hotspur
587,England,G,FW,Jamie Vardy,1987-01-11,21,7,England Leicester City
588,England,G,FW,Marcus Rashford,1997-10-31,17,2,England Manchester United
589,England,G,FW,Raheem Sterling,1994-12-08,37,2,England Manchester City
590,England,G,GK,Jack Butland,1993-03-10,7,0,England Stoke City
591,England,G,GK,Jordan Pickford,1994-03-07,2,0,England Everton
592,England,G,GK,Nick Pope,1992-04-19,0,0,England Burnley
593,England,G,MF,Dele Alli,1996-04-11,23,2,England Tottenham Hotspur
594,England,G,MF,Eric Dier,1994-01-15,25,3,England Tottenham Hotspur
595,England,G,MF,Jesse Lingard,1992-12-15,10,1,England Manchester United
596,England,G,MF,Jordan Henderson,1990-06-17,38,0,England Liverpool
597,England,G,MF,Ruben Loftus-Cheek,1996-01-23,2,0,England Crystal Palace
598,Panama,G,DF,Adolfo Machado,1985-02-14,74,1,United States Houston Dynamo
599,Panama,G,DF,Erick Davis,1991-03-31,37,0,Slovakia Dunajská Streda
600,Panama,G,DF,Felipe Baloy (captain),1981-02-24,101,3,Guatemala Municipal
601,Panama,G,DF,Fidel Escobar,1995-01-09,21,1,United States New York Red Bulls
602,Panama,G,DF,Harold Cummings,1992-03-01,51,0,United States San Jose Earthquakes
603,Panama,G,DF,Luis Ovalle,1988-09-07,24,0,Honduras Olimpia
604,Panama,G,DF,Michael Amir Murillo,1996-02-15,21,2,United States New York Red Bulls
605,Panama,G,DF,Román Torres,1986-03-20,109,10,United States Seattle Sounders FC
606,Panama,G,FW,Abdiel Arroyo,1993-12-13,33,5,Costa Rica Alajuelense
607,Panama,G,FW,Blas Pérez,1981-03-13,116,43,Guatemala Municipal
608,Panama,G,FW,Gabriel Torres,1988-10-31,71,14,Chile Huachipato
609,Panama,G,FW,Ismael Díaz,1997-05-12,10,2,Spain Deportivo Fabril
610,Panama,G,FW,Luis Tejada,1982-03-28,104,43,Peru Sport Boys
611,Panama,G,GK,Álex Rodríguez,1990-08-05,6,0,Panama San Francisco
612,Panama,G,GK,Jaime Penedo,1981-09-26,130,0,Romania Dinamo București
613,Panama,G,GK,José Calderón,1985-08-14,30,0,Panama Chorrillo
614,Panama,G,MF,Alberto Quintero,1987-12-18,89,5,Peru Universitario
615,Panama,G,MF,Aníbal Godoy,1990-02-10,87,2,United States San Jose Earthquakes
616,Panama,G,MF,Armando Cooper,1987-11-26,96,7,Chile Universidad de Chile
617,Panama,G,MF,Édgar Bárcenas,1993-10-23,27,0,Mexico Tapachula
618,Panama,G,MF,Gabriel Gómez,1984-05-29,142,12,Colombia Atlético Bucaramanga
619,Panama,G,MF,José Luis Rodríguez,1998-06-19,0,0,Belgium Gent
620,Panama,G,MF,Valentín Pimentel,1991-05-30,21,1,Panama Plaza Amador
621,Tunisia,G,DF,Ali Maâloul,1990-01-01,43,0,Egypt Al Ahly
622,Tunisia,G,DF,Dylan Bronn,1995-06-19,3,0,Belgium Gent
623,Tunisia,G,DF,Hamdi Nagguez,1992-10-28,13,0,Egypt Zamalek
624,Tunisia,G,DF,Oussama Haddadi,1992-01-28,6,0,France Dijon
625,Tunisia,G,DF,Rami Bedoui,1990-01-19,8,0,Tunisia Étoile du Sahel
626,Tunisia,G,DF,Syam Ben Youssef,1989-03-31,40,1,Turkey Kasımpaşa
627,Tunisia,G,DF,Yassine Meriah,1993-07-02,13,1,Tunisia CS Sfaxien
628,Tunisia,G,DF,Yohan Benalouane,1987-03-28,2,0,England Leicester City
629,Tunisia,G,FW,Anice Badri,1990-08-18,4,0,Tunisia Espérance
630,Tunisia,G,FW,Bassem Srarfi,1997-06-25,2,0,France Nice
631,Tunisia,G,FW,Fakhreddine Ben Youssef,1991-06-21,31,4,Saudi Arabia Al-Ettifaq
632,Tunisia,G,FW,Saber Khalifa,1986-10-14,41,7,Tunisia Club Africain
633,Tunisia,G,FW,Wahbi Khazri,1991-02-08,35,12,France Rennes
634,Tunisia,G,GK,Aymen Mathlouthi (captain),1984-09-14,69,0,Saudi Arabia Al-Batin
635,Tunisia,G,GK,Farouk Ben Mustapha,1989-07-01,15,0,Saudi Arabia Al-Shabab
636,Tunisia,G,GK,Mouez Hassen,1995-03-05,1,0,France Châteauroux
637,Tunisia,G,MF,Ahmed Khalil,1994-12-21,3,0,Tunisia Club Africain
638,Tunisia,G,MF,Ellyes Skhiri,1995-05-10,2,0,France Montpellier
639,Tunisia,G,MF,Ferjani Sassi,1992-03-18,36,2,Saudi Arabia Al-Nassr
640,Tunisia,G,MF,Ghailene Chaalali,1994-02-28,4,1,Tunisia Espérance
641,Tunisia,G,MF,Mohamed Amine Ben Amor,1992-01-01,24,1,Saudi Arabia Al-Ahli
642,Tunisia,G,MF,Naïm Sliti,1992-07-27,14,3,France Dijon
643,Tunisia,G,MF,Saîf-Eddine Khaoui,1995-04-27,2,0,France Troyes
644,Colombia,H,DF,Cristián Zapata,1986-09-30,55,2,Italy Milan
645,Colombia,H,DF,Dávinson Sánchez,1996-05-12,8,0,England Tottenham Hotspur
646,Colombia,H,DF,Frank Fabra,1991-02-22,18,1,Argentina Boca Juniors
